BP_Code,Name,lat,lng
V000447,Gastroenterological Society of Singapore,1.3301414999999999,103.7444497
V000537,GE Healthcare Pte Ltd,1.3055213,103.7919194
V000053,Geetha A and Associates,1.2802849,103.822894
V000239,Gelman Singapore Pte Ltd,1.4551799,103.79799
V000306,Gene Universal Inc,39.6870089,-75.6583533
V000055,Gene-Ethics (Asia) Private Limited,1.2909016,103.786505
V000056,Genomax Technologies Pte Ltd,1.313247,103.751637
V000648,GenScript Biotech (Singapore) Pte. Ltd.,1.3242426,103.8757455
V000057,GenScript USA Inc.,40.549033,-74.4851678
V000164,GeTS Asia Pte Ltd,1.288333,103.7822349
V000584,Gian Kristofer Kara Calayan,13.9348519,121.6123251
V000019,Giftmarket Pte Ltd,1.337751,103.8971834
V000174,Gin Young Enterprise Co Ltd,24.9181733,121.3690685
V000247,Gis Healthcare Couriers Pte Ltd,1.2863925,103.8040751
V000058,GL Events CCIB,41.409444,2.2192087
V000639,Glee Technologies Pte Ltd,1.3044917,103.7967223
V000295,Global Airfreight International Pte Ltd,1.3744182,103.9958061
V000557,Global Season Int'l Ltd,-4.679574,55.491977
V000223,Global Travel Pte Ltd,1.3515257,103.8621257
V000655,Globewerks International Pte Ltd,1.358606,103.833566
V000059,Goddady.Com,33.6172719,-111.9051268
V000217,Gold Wind Engineering (S) Pte Ltd,1.4378735,103.8067738
V000702,Golden Village Multiplex Pte Ltd,1.2954041,103.8596084
V000158,Gomet Engineering Pte Ltd,1.2974996,103.6322017
V000232,Gomet Engineering Pte Ltd,1.2974996,103.6322017
V000423,"Greater Than Creative & publishing CO.,Ltd.",24.9404619,121.3766941
V000707,"Greater Than Creative & publishing CO.,Ltd.",24.9404619,121.3766941
V000517,Greenlife Clinic & Surgery Pte Ltd,1.4487849,103.8197705
V000327,Greenlight Guru,39.7588172,-86.1582443
V000309,GriffSearch Consulting Pte Ltd,1.2953522,103.8584051
V000509,Grupp Marketing Pte Ltd,1.3346833999999999,103.900861
V000595,GS Medic Pte Ltd,1.2790671,103.8545336
V000563,GS1 Singapore Limited,1.2835701,103.8193837
V000658,Guro Pte Ltd,1.2966208,103.8549145
V000428,Gutcare Management,1.3222428,103.8443751
V000608,"Hangzhou Laihe Biotech Co., Ltd.",30.2083999,120.21201
V000609,"Hangzhou Laihe Biotech Co., Ltd.",30.2083999,120.21201
V000546,"Hangzhou MiWay Technology Co., Ltd.",35.86166,104.195397
V000636,"Hangzhou MiWay Technology Co., Ltd.",35.86166,104.195397
V000280,"Hangzhou MiYin Biotechnology Co., Ltd.",30.2655499,120.1536
V000285,"Hangzhou MiYin Biotechnology Co., Ltd.",30.2655499,120.1536
V000653,Hanson Wade Limited,51.4958141,-0.1457462
V000330,Hartmann Young Limited,53.7970385,-1.5470795
V000061,Harvard College,42.3600825,-71.0588801
V000649,Hashmeta Pte Ltd,1.3145988,103.8660195
V000213,HCS Scientific & Chemical Pte Ltd,1.3159493,103.7345152
V000278,Health Sciences Authority,1.352083,103.819836
V000525,Healthpoint Family Clinic & Surgery Pte Ltd,1.2930329999999999,103.8085171
V000645,Healthway Medical Group Pte Ltd,1.2783805,103.8491975
V000581,Hibex Singapore Pte Ltd,1.277172,103.7961749
V000304,Hidoc Pte Ltd,1.3416825000000001,103.8493198
V000062,Hilco Global Asia Pacific Pte Ltd,1.3044888000000001,103.7967184
V000651,Hilton Singapore Orchard,1.30219,103.836308
V000522,Ho Surgical Clinic Pte Ltd,1.3045415999999999,103.8352166
V000316,Hoshizaki Singapore Pte Ltd,1.3284584,103.7527987
V000305,HS Mircotech Pte Ltd,1.2761293999999999,103.8474403
V000657,H-Singapore Group Pte. Ltd.,1.3058458,103.8312426
V000294,Hunet Pte Ltd,1.3272865999999999,103.8906648
V000315,Huone Singapore Pte Ltd,1.352083,103.819836
V000553,Hyperion Consulting Pte Ltd,1.352083,103.819836
V000494,Hyster-Yale Lift Trucks Singapore Pte Ltd,1.3263500000000001,103.6370391
V000203,i2002 Logistics Pte Ltd,1.2802849,103.822894
V000063,i-DNA Biotechnology Pte Ltd,1.3132336,103.7514544
V000074,I-Health Medical Clinic,1.3194005,103.8640377
V000457,IIJ Global Solutions Singapore Pte. Ltd.,1.3246541,103.8944393
V000449,Inboundcycle SL,41.3930778,2.1446816
V000450,Incompleteness Theorem Sdn Bhd,3.0862317,101.5869116
V000435,Inecom Pte Ltd,1.3289412,103.8765411
V000444,Inecom Pte Ltd,1.3289277,103.8765252
V000064,Infinitus Law Corporation Advocates and Solicitors,1.2777688999999999,103.8483915
V000272,Influence Solutions Pte Ltd,1.2756998,103.8458098
V000617,Infodataplace LLC,34.0633443,-117.6508876
V000618,Infodataplace LLC,34.0633443,-117.6508876
V000263,Innocom Technologies Pte Ltd,1.337041,103.908463
V000067,Innovative Diagnostics Pte Ltd,1.2845656,103.8089925
V000442,Insights Philippines Legal Advisors,14.5479041,121.0513179
V000065,Integrated DNA Technologies Pte Ltd,1.3132336,103.7514544
V000082,Inter Continental Freight Pte Ltd,1.3382654999999999,103.758649
V000066,International Enterprise Singapore - AP,1.2996121999999999,103.8557241
V000542,International Medical Clinic - Camden,1.3033039,103.8239218
V000038,Iplan Private Limited,1.3152152,103.8668111
V000068,Isolab (S) Pte Ltd,1.324925,103.6763437
V000414,IT Core Solutions Sdn Bhd,3.1078083,101.4621528
V000445,IT Next Door Pte Ltd,1.3584498,103.8336633
V000069,ITS Science & Medical Pte Ltd,1.2803723,103.819912
V000665,Jaime Tan Cruz,14.585,121.0622222
V000490,JK Technology Pte Ltd,1.3367452,103.9112123
V000674,JL Medical (Bukit Batok) Pte Ltd,1.3627460999999998,103.7469576
V000070,Joaquim Florist & Gifts Pte Ltd,1.337751,103.8971834
V000071,JTC Corporation,1.331108,103.7418832
V000549,K.C.Dat Logistics Pte Ltd,1.3251208,103.6940778
V000072,Kaleidoskope,1.2933449,103.8603003
V000073,Kaneka Eurogentec S.A.,50.2044225,5.704226
V000371,Kashi Clinical Laboratories,45.4529232,-122.7245775
V000159,Kentaro Kume,35.7245548,139.7457635
V000454,Kerry Consulting Pte Ltd,1.2947503,103.8597341
V000336,Kickass Communicatons,1.352083,103.819836
V000474,Kim Leng Office Equipment Pte Ltd,1.3099619,103.8585331
